iter	RMSE
192	7.12078944
193	7.104539289
194	7.090669998
195	7.076626027
196	7.062782365
197	7.048225305
198	7.034315687
199	7.021500727
200	7.007811111
201	6.993189836
202	6.978424838
203	6.962745465
204	6.949026645
205	6.936495316
206	6.922822902
207	6.912447937
208	6.897779069
209	6.883398262
210	6.871619106
211	6.861455752
212	6.849410438
213	6.836135383
214	6.82218121
215	6.811740379
216	6.800769361
217	6.791902937
218	6.780634682
219	6.769561782
220	6.758071451
221	6.744945171
222	6.732539009
223	6.723365585
224	6.710756918
225	6.699512063
226	6.688080313
227	6.67675061
228	6.666777794
229	6.656476385
230	6.646173939
231	6.635534093
232	6.624183245
233	6.61364931
234	6.60543585
235	6.594015272
236	6.585322601
237	6.57514172
238	6.565250916
239	6.556246638
240	6.546423621
241	6.537568111
242	6.528134835
243	6.518100435
244	6.508618944
245	6.498524065
246	6.489294117
247	6.480354693
248	6.472562789
249	6.462623953
250	6.454097383
251	6.444787493
252	6.437296582
253	6.430378571
254	6.420818866
255	6.4126538
256	6.405549856
257	6.397274842
258	6.388533243
259	6.381847898
260	6.37460105
261	6.366542973
262	6.358824814
263	6.350637948
264	6.343197939
265	6.335855004
266	6.329669605
267	6.322623194
268	6.314805335
269	6.307461621
270	6.29928526
271	6.292507696
272	6.286385552
273	6.278288914
274	6.271967727
275	6.267427612
276	6.25946841
277	6.254113526
278	6.247191145
279	6.240411576
280	6.234666087
281	6.229133438
282	6.223531901
283	6.215714908
284	6.208350405
285	6.203352375
286	6.196503937
287	6.190698198
288	6.184328424
289	6.178153194
290	6.170203877
291	6.164775589
292	6.158653045
293	6.153332841
294	6.146073541
295	6.14073227
296	6.134032608
297	6.127669102
298	6.122069825
299	6.115228413
300	6.110359263
301	6.105043767
302	6.098861022
303	6.092865977
304	6.086146699
305	6.081750602
306	6.076104254
307	6.071307252
308	6.066074842
309	6.062919552
310	6.058004256
311	6.052082252
312	6.046910343
313	6.041582569
314	6.035655854
315	6.031159933
316	6.025147847
317	6.02079923
318	6.015929587
319	6.01192281
320	6.007967074
321	6.003006394
322	5.997950428
323	5.993105729
324	5.98907671
325	5.98460928
326	5.978843134
327	5.974402984
328	5.969560289
329	5.963982954
330	5.959513629
331	5.953985429
332	5.949170879
333	5.944348111
334	5.940162992
335	5.936964735
336	5.93286571
337	5.928934324
338	5.925592327
339	5.922134251
340	5.918488761
341	5.913941149
342	5.909837119
343	5.906645273
344	5.902003179
345	5.897269503
346	5.892567214
347	5.888032003
348	5.884065156
349	5.880553466
350	5.875670991
351	5.872648253
352	5.869236364
353	5.865006787
354	5.860931366
355	5.856843417
356	5.852623385
357	5.848156481
358	5.844940511
359	5.840612231
360	5.835860013
361	5.833026705
362	5.829597243
363	5.825611818
364	5.821726884
365	5.817459031
366	5.814121897
367	5.811414215
368	5.80801795
369	5.803776698
370	5.800476592
371	5.796496107
372	5.792613725
373	5.788632185
374	5.785880978
375	5.782540225
376	5.779322587
377	5.776423851
378	5.773600653
379	5.771757525
380	5.768743074
381	5.764750061
382	5.762263316
383	5.759562692
384	5.756837876
385	5.753362188
386	5.749526462
387	5.746403067
388	5.743573777
389	5.739712192
390	5.735944885
391	5.733074158
392	5.729607507
393	5.726478615
394	5.723235531
395	5.721155272
396	5.71795663
397	5.715149297
398	5.712461959
399	5.709448861
400	5.706723618
401	5.704118846
402	5.700841114
403	5.698574593
404	5.695551544
405	5.693764117
406	5.691964321
407	5.689353103
408	5.687162198
409	5.684656067
410	5.682131831
411	5.679533848
412	5.676824549
413	5.674306698
414	5.672197514
415	5.669654188
416	5.667491381
417	5.664989249
418	5.662460543
419	5.659380727
420	5.657537996
421	5.655474197
422	5.652925434
423	5.65043974
424	5.648358444
425	5.645601458
426	5.642388387
427	5.640209815
428	5.638176831
429	5.635360787
430	5.633256847
431	5.631354257
432	5.629072945
433	5.626943107
434	5.624040954
435	5.621559786
436	5.620205372
437	5.618264732
438	5.615632041
439	5.613652866
440	5.611795868
441	5.610571444
442	5.607902163
443	5.605015069
444	5.603932409
445	5.602083255
446	5.600591525
447	5.597258875
448	5.595701339
449	5.59356645
450	5.592274266
451	5.591188843
452	5.588702072
453	5.586935225
454	5.585677623
455	5.584128197
456	5.582707806
457	5.580227401
458	5.578618018
459	5.575738607
460	5.574399556
461	5.572874766
462	5.571253636
463	5.569646224
464	5.567834431
465	5.565621347
466	5.56302865
467	5.560541583
468	5.558554189
469	5.55661544
470	5.555107443
471	5.553001979
472	5.550807672
473	5.548833279
474	5.546988005
475	5.544113234
476	5.541855018
477	5.540262716
478	5.538240038
479	5.536397009
480	5.534746722
481	5.532833008
482	5.531513402
483	5.530254265
484	5.528528455
485	5.527019609
486	5.525158062
487	5.523414207
488	5.521419952
489	5.520542152
490	5.519175134
491	5.517191085
492	5.515396418
493	5.514184513
494	5.512976621
495	5.512053978
496	5.509651196
497	5.508449641
498	5.506200461
499	5.504245312
500	5.502422039
501	5.501035284
502	5.49975162
503	5.497400882
504	5.495768429
505	5.49425215
506	5.492571629
507	5.490609798
508	5.488159059
509	5.485848061
510	5.484385451
511	5.483003712
512	5.481829585
513	5.480161933
514	5.47800062
515	5.476904852
516	5.475462189
517	5.474473371
518	5.472962492
519	5.47147017
520	5.470414029
521	5.468133124
522	5.466219758
523	5.465020948
524	5.463556207
525	5.46144699
526	5.459773014
527	5.458818857
528	5.457573861
529	5.455669316
530	5.454407567
531	5.453474586
532	5.451445618
533	5.450489536
534	5.448859003
535	5.447521033
536	5.446224074
537	5.444869303
538	5.443815473
539	5.441879714
540	5.440410761
541	5.438867496
542	5.43728511
543	5.43619607
544	5.435014563
545	5.43366348
546	5.432817812
547	5.431272214
548	5.430456065
549	5.429487225
550	5.428017715
551	5.426897793
552	5.426006033
553	5.424263079
554	5.423027664
555	5.421981711
556	5.420613939
557	5.41896319
558	5.417630839
559	5.415546675
560	5.414932035
561	5.414152104
562	5.412127607
563	5.410813955
564	5.409438065
565	5.407919089
566	5.406578503
567	5.405887166
568	5.404539187
569	5.403424625
570	5.401862923
571	5.401146427
572	5.401015328
573	5.40007745
574	5.399014155
575	5.398423858
576	5.397502522
577	5.396519109
578	5.395574013
579	5.39390795
580	5.393188611
581	5.391561982
582	5.390823709
583	5.389817718
584	5.388604461
585	5.386604459
586	5.385975446
587	5.384716164
588	5.383690898
589	5.382750213
590	5.38173618
591	5.381611572
592	5.380795951
593	5.38012222
594	5.379782068
595	5.378443873
596	5.377948046
597	5.377647073
598	5.37610882
599	5.3752625
600	5.374416959
601	5.372959192
602	5.372173356
603	5.371061638
604	5.370350132
605	5.369118658
606	5.368578744
607	5.36759313
608	5.367019961
609	5.365991473
610	5.365055419
611	5.364184095
612	5.362927839
613	5.361895943
614	5.361047991
615	5.360274664
616	5.359466775
617	5.358255925
618	5.357922156
619	5.357185962
620	5.356256331
621	5.355611533
622	5.354353803
623	5.353946136
624	5.352700478
625	5.351187071
626	5.350998779
627	5.350401648
628	5.349462489
629	5.34842985
630	5.347686717
631	5.346307486
632	5.345256079
633	5.344299564
634	5.343796752
635	5.342594685
636	5.341428011
637	5.340293371
638	5.338861293
639	5.338345326
640	5.337174025
641	5.336326389
642	5.335757654
643	5.335483926
644	5.333941269
645	5.332957169
646	5.331350516
647	5.330104575
648	5.329460478
649	5.328801394
650	5.327984785
651	5.326960743
652	5.325701461
653	5.324547354
654	5.324054688
655	5.322902651
656	5.322165921
657	5.321485601
658	5.320835622
659	5.320427711
660	5.319499329
661	5.318645606
662	5.318110115
663	5.317483075
664	5.316721255
665	5.315995489
666	5.315176558
667	5.313939756
668	5.313128797
669	5.312560331
670	5.31215498
671	5.312088061
672	5.31081266
673	5.310265926
674	5.309730071
675	5.309014512
676	5.308640791
677	5.307383082
678	5.306572557
679	5.30591911
680	5.305130129
681	5.304057548
682	5.303432756
683	5.3026728
684	5.30259054
685	5.302043905
686	5.301390361
687	5.30101
688	5.299860412
689	5.299211216
690	5.298599948
691	5.296824995
692	5.296323931
693	5.295938108
694	5.295217574
695	5.295033076
696	5.294508579
697	5.293722435
698	5.292868985
699	5.292260198
700	5.291240105
701	5.290800579
702	5.29011521
703	5.289284347
704	5.288872206
705	5.28781809
706	5.286927779
707	5.286228112
708	5.28519952
709	5.284860533
710	5.283988661
711	5.282747176
712	5.282018826
713	5.281139883
714	5.281080308
715	5.280505347
716	5.280071795
717	5.279552491
718	5.279168473
719	5.278991207
720	5.277976934
721	5.277310677
722	5.276598124
723	5.275939516
724	5.275299328
725	5.274516547
726	5.273848887
727	5.273118731
728	5.273060243
729	5.271981323
730	5.27085721
731	5.270396428
732	5.26945898
733	5.269039507
734	5.268946379
735	5.268314512
736	5.267702829
737	5.267453171
738	5.266367872
739	5.26628968
740	5.265680814
741	5.265302472
742	5.264422558
743	5.264251024
744	5.26353882
745	5.26280717
746	5.262339108
747	5.261577399
748	5.260716984
749	5.260334954
750	5.260191699
751	5.259326443
752	5.258568877
753	5.257717043
754	5.256734651
755	5.255489528
756	5.254323658
757	5.254027491
758	5.253584804
759	5.252938152
760	5.252532722
761	5.252474532
762	5.251953632
763	5.251518567
764	5.25097213
765	5.25062961
766	5.249881094
767	5.249253397
768	5.24827956
769	5.247596448
770	5.24721054
771	5.246752779
772	5.246183841
773	5.245718355
774	5.245349286
775	5.245279823
776	5.244925011
777	5.244610736
778	5.244163289
779	5.243675223
780	5.243290365
781	5.242781101
782	5.242340719
783	5.241687129
784	5.241178879
785	5.241042992
786	5.240449896
787	5.239670738
788	5.239413913
789	5.238284761
790	5.237573071
791	5.236800025
792	5.236714861
793	5.235998066
794	5.23545951
795	5.234850608
796	5.234444813
797	5.234404959
798	5.233610217
799	5.233065644
800	5.23162602
801	5.231375178
802	5.230092518
803	5.229801375
804	5.229341151
805	5.228727973
806	5.228179297
807	5.227399899
808	5.226804784
809	5.226020359
810	5.225438834
811	5.225075953
812	5.224180011
813	5.223814484
814	5.223240898
815	5.222578552
816	5.222125898
817	5.221624172
818	5.221291604
819	5.220724055
820	5.220370255
821	5.220267649
822	5.219912942
823	5.219868326
824	5.21957945
825	5.219535063
826	5.219009284
827	5.218527338
828	5.218482531
829	5.218438186
830	5.217917504
831	5.217537301
832	5.217138722
833	5.216945264
834	5.215952488
835	5.215698374
836	5.215169761
837	5.214960533
838	5.214426548
839	5.213905964
840	5.213634275
841	5.213207621
842	5.212888063
843	5.2123195
844	5.211894625
845	5.211622886
846	5.211274964
847	5.211026324
848	5.210709243
849	5.210217758
850	5.209693443
851	5.209142354
852	5.208283224
853	5.208172083
854	5.207152499
855	5.206529066
856	5.205764295
857	5.205340129
858	5.205031529
859	5.204836412
860	5.204483721
861	5.204404751
862	5.204056412
863	5.203749372
864	5.203620648
865	5.203130818
866	5.202747322
867	5.20264168
868	5.202361086
869	5.202109753
870	5.200942866
871	5.200902992
872	5.200532223
873	5.200492396
874	5.200156872
875	5.199966878
876	5.199621426
877	5.199275518
878	5.199016785
879	5.198455315
880	5.197496208
881	5.196910265
882	5.196453223
883	5.195581312
884	5.195067722
885	5.194891424
886	5.194844821
887	5.194546024
888	5.194300484
889	5.194262365
890	5.193746422
891	5.19370847
892	5.193456378
893	5.192965874
894	5.192600556
895	5.191867958
896	5.191697363
897	5.191451717
898	5.191111111
899	5.190128988
900	5.189408075
901	5.18937108
902	5.18933416
903	5.189297316
904	5.189006274
905	5.188729935
906	5.188023406
907	5.187703427
908	5.187127928
909	5.186989911
910	5.186673311
911	5.185968167
912	5.185331124
913	5.185294819
914	5.185001373
915	5.184964687
916	5.18492898
917	5.184617419
918	5.183924002
919	5.183450538
920	5.183361442
921	5.182868274
922	5.182064113
923	5.181782748
924	5.181477879
925	5.180366431
926	5.180324592
927	5.180289823
928	5.180241667
929	5.180205816
930	5.179959228
931	5.179756509
932	5.179335268
933	5.179301486
934	5.179053557
935	5.177895741
936	5.177099766
937	5.177065785
938	5.176167407
939	5.175928426
940	5.175798333
941	5.175764465
942	5.175619215
943	5.175584565
944	5.175527576
945	5.174737705
946	5.174703203
947	5.17374379
948	5.173365977
949	5.173125268
950	5.173074683
951	5.172999044
952	5.171851766
953	5.171760161
954	5.171460764
955	5.170787422
956	5.169908681
957	5.16878107
958	5.168480918
959	5.167720654
960	5.166748102
961	5.166658196
962	5.166447714
963	5.166410026
964	5.166335077
965	5.166296926
966	5.165829593
967	5.165768795
968	5.165451024
969	5.165039581
970	5.164995406
971	5.164674192
972	5.163547852
973	5.162721519
974	5.162682571
975	5.16263993
976	5.16255665
977	5.161420929
978	5.1613866
979	5.160867173
980	5.160339217
981	5.160251049
982	5.159729134
983	5.159694096
984	5.158984392
985	5.158739858
986	5.158704975
987	5.15861588
988	5.158379334
989	5.158008321
990	5.156906905
991	5.156673
992	5.156634742
993	5.15660019
994	5.156547728
995	5.156496275
996	5.15623011
997	5.156005104
998	5.155968722
999	5.155781701
